Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Number_of_Customers,Engagement_Score2,Engagement_Score3
CID1061,Innovate Industries,Display,Women 25-34,39,YouTube,6.59,785.25,6.62,Los Angeles,English,7536,44601,77.5,Outdoor Adventurers,7/20/2024,596,81.5,77.5
CID1062,TechCorp,Email,All Ages,50,Email,6.31,173.1,19.63,Los Angeles,German,1745,27907,53.61,Outdoor Adventurers,9/2/2024,701,50.61,47.61
CID1063,DataTech Solutions,Social Media,All Ages,18,Google Ads,11.77,606.48,14.86,Chicago,English,13581,38025,68.75,Foodies,4/12/2024,762,65.75,68.75
CID1064,Alpha Innovations,Search,Men 25-34,58,YouTube,18.2,609.22,49.67,Los Angeles,French,7806,25003,85.82,Outdoor Adventurers,9/1/2024,926,89.82,85.82
CID1065,NexGen Systems,Search,All Ages,90,Email,13.59,721.75,43.83,Los Angeles,French,4294,25242,53.18,Fashionistas,9/17/2023,974,50.18,47.18
CID1066,Alpha Innovations,Search,Men 25-34,37,Facebook,10.98,767.23,56.04,Miami,French,6952,25546,72.61,Outdoor Adventurers,10/18/2023,663,76.61,74.61
CID1067,DataTech Solutions,Email,All Ages,91,Email,7.99,441.44,27.15,New York,English,3726,35342,51.12,Health & Wellness,6/17/2024,580,48.12,45.12
CID1068,Alpha Innovations,Search,Women 25-34,45,Email,17.78,898.49,46.98,Chicago,German,4845,34435,59.84,Tech Enthusiasts,8/3/2024,389,56.84,53.84
CID1069,Innovate Industries,Social Media,Women 25-34,95,Facebook,10.54,996.74,22.04,Chicago,English,11212,31159,88.36,Health & Wellness,2/13/2024,1000,92.36,88.36
CID1070,NexGen Systems,Search,Men 18-24,10,Instagram,17.33,449.52,42.99,Los Angeles,Spanish,8353,21484,91.26,Fashionistas,6/13/2024,639,88.26,91.26
CID1071,NexGen Systems,Influencer,All Ages,59,Website,6.55,985.74,28.1,Los Angeles,French,6295,29855,57.75,Outdoor Adventurers,7/28/2024,860,54.75,57.75
CID1072,DataTech Solutions,Social Media,Men 25-34,27,Website,13.48,791.36,29.77,Miami,German,6043,33587,59.2,Health & Wellness,7/12/2024,307,56.2,59.2
CID1073,NexGen Systems,Search,Women 35-44,85,Email,15.81,482.47,57.56,Los Angeles,Spanish,8036,24020,59.59,Fashionistas,5/28/2024,601,56.59,53.59
CID1074,TechCorp,Email,Men 18-24,67,Website,8.79,886.49,24.58,New York,French,2669,30859,56.8,Health & Wellness,5/11/2024,232,53.8,56.8
CID1075,Alpha Innovations,Influencer,Women 35-44,36,Facebook,8.98,256.73,35.93,Los Angeles,Spanish,5727,25577,75.61,Outdoor Adventurers,9/12/2023,197,72.61,75.61
CID1076,Innovate Industries,Search,Men 18-24,52,Email,11.59,765.61,55.02,Miami,German,6592,30615,52.86,Foodies,5/6/2024,357,49.86,46.86
CID1077,DataTech Solutions,Display,Women 35-44,25,YouTube,5.84,128.59,6.25,New York,German,4630,43843,75.61,Tech Enthusiasts,3/21/2024,800,72.61,75.61
CID1078,NexGen Systems,Email,Women 35-44,31,Email,1.72,373.84,21.81,Chicago,English,1372,31834,50.58,Tech Enthusiasts,7/29/2024,176,47.58,44.58
CID1079,Alpha Innovations,Search,All Ages,24,Google Ads,17.28,505.64,54.91,Miami,French,5433,30137,69.21,Fashionistas,8/13/2024,264,66.21,69.21
CID1080,DataTech Solutions,Social Media,Men 18-24,55,Facebook,10.31,732.97,26.79,Miami,French,9977,18465,72.49,Tech Enthusiasts,1/19/2024,137,69.49,72.49
CID1081,NexGen Systems,Social Media,Women 25-34,88,YouTube,9.76,646.41,23.17,Los Angeles,French,13569,26482,82.51,Tech Enthusiasts,12/15/2023,488,86.51,82.51
CID1082,Innovate Industries,Social Media,Men 25-34,56,YouTube,13.34,174.4,14.75,Miami,English,7275,30613,83.64,Tech Enthusiasts,6/21/2024,194,87.64,83.64
CID1083,DataTech Solutions,Display,Women 35-44,14,Website,4.32,671.5,13.31,Chicago,German,7167,30627,58.85,Foodies,1/16/2024,661,55.85,58.85
CID1084,TechCorp,Display,Women 25-34,28,YouTube,5.27,910.71,5.57,New York,French,3606,47120,82.95,Health & Wellness,6/11/2024,775,86.95,82.95
CID1085,Innovate Industries,Search,Men 18-24,39,Google Ads,19.52,827.35,52.8,Los Angeles,French,4248,39232,66.42,Outdoor Adventurers,8/15/2024,104,63.42,66.42
CID1086,Alpha Innovations,Influencer,Women 25-34,19,Instagram,5.15,983.55,20.43,Los Angeles,English,5341,22374,95.79,Health & Wellness,10/6/2023,130,99.79,95.79
CID1087,Alpha Innovations,Influencer,Women 35-44,25,Email,12.01,767.15,25.44,Houston,Spanish,4894,26048,57.57,Foodies,11/25/2023,376,54.57,51.57
CID1088,DataTech Solutions,Search,Men 25-34,31,YouTube,17.46,154.29,59.53,Los Angeles,French,11356,28008,76.15,Foodies,9/2/2024,741,80.15,76.15
CID1089,Alpha Innovations,Email,Men 25-34,54,Facebook,7.39,440.3,24.63,Los Angeles,French,1927,36937,78.41,Outdoor Adventurers,4/19/2024,151,82.41,78.41
CID1090,NexGen Systems,Display,Men 18-24,38,Google Ads,2.04,220.64,8.14,Miami,French,6895,41445,71.63,Fashionistas,12/7/2023,349,68.63,68.63
CID1091,Alpha Innovations,Display,Men 18-24,96,Website,2.01,527.67,20,Los Angeles,French,7965,37627,63.05,Foodies,12/13/2023,662,60.05,63.05
CID1092,TechCorp,Social Media,Women 35-44,59,YouTube,14.81,941.74,12.23,Chicago,German,7331,44021,77.39,Outdoor Adventurers,7/19/2024,524,74.39,77.39
CID1093,NexGen Systems,Search,All Ages,11,Instagram,17.56,727.36,54.21,Los Angeles,English,8322,30154,94.7,Fashionistas,11/6/2023,757,91.7,94.7
CID1094,TechCorp,Display,Women 35-44,91,Instagram,5.83,210.39,6,Chicago,Spanish,3708,45630,92.82,Fashionistas,7/19/2024,981,89.82,92.82
CID1095,NexGen Systems,Search,Men 25-34,32,YouTube,10.98,432.44,57.22,Miami,French,4422,35447,78.96,Foodies,4/9/2024,418,82.96,78.96
CID1096,Innovate Industries,Search,Women 35-44,16,Facebook,11.02,624.97,48.13,Houston,Spanish,10752,27668,72.43,Fashionistas,3/3/2024,663,69.43,72.43
CID1097,Alpha Innovations,Search,Women 35-44,11,Facebook,11.92,488.09,44.69,Chicago,English,6736,34414,78.68,Fashionistas,10/17/2023,215,75.68,78.68
CID1098,DataTech Solutions,Email,Men 18-24,88,YouTube,1.11,234.73,17.78,New York,Spanish,1796,33691,77.39,Health & Wellness,10/13/2023,333,74.39,77.39
CID1099,TechCorp,Email,Women 25-34,52,Instagram,5.6,956.56,25.54,Miami,German,3385,35731,94.25,Foodies,1/14/2024,862,98.25,94.25
CID1100,DataTech Solutions,Display,Men 25-34,46,Google Ads,5.33,683.5,8.57,Chicago,English,2152,32731,70.95,Outdoor Adventurers,8/16/2024,173,74.95,70.95
CID1101,Alpha Innovations,Search,Men 18-24,63,Facebook,19.91,521.79,58.9,Chicago,French,9197,35262,76.7,Fashionistas,3/27/2024,549,73.7,76.7
CID1102,TechCorp,Search,Women 35-44,23,Website,10.98,158.52,47.39,New York,German,5659,28244,62.91,Foodies,9/8/2024,142,59.91,62.91
CID1103,TechCorp,Social Media,Men 25-34,37,Email,9.59,535.64,18.21,New York,French,11536,10960,54.55,Health & Wellness,3/20/2024,385,51.55,48.55
CID1104,DataTech Solutions,Search,Women 35-44,52,YouTube,13.89,370.66,51.6,Los Angeles,English,4116,20890,84.88,Tech Enthusiasts,10/24/2023,251,81.88,84.88
CID1105,TechCorp,Display,Women 35-44,99,Website,5.84,606.61,18.1,New York,English,2882,49805,57.34,Fashionistas,1/7/2024,689,54.34,57.34
CID1106,Innovate Industries,Display,Women 35-44,13,Facebook,6.42,790.72,10.65,Chicago,English,7740,37669,76.94,Tech Enthusiasts,4/13/2024,858,73.94,76.94
CID1107,Alpha Innovations,Display,Men 18-24,59,Google Ads,4.27,900.41,11.07,Miami,German,3749,32565,66.65,Foodies,1/3/2024,861,63.65,66.65
CID1108,Alpha Innovations,Search,All Ages,76,Facebook,19.08,284.5,40.96,Chicago,French,8016,22352,74.98,Fashionistas,6/12/2024,872,71.98,74.98
CID1109,DataTech Solutions,Display,Women 35-44,37,Google Ads,4.21,402.2,16.5,New York,English,4302,43973,68.78,Outdoor Adventurers,10/30/2023,745,65.78,68.78
CID1110,DataTech Solutions,Search,Men 25-34,100,Email,16.61,224.2,56.33,Miami,French,11058,30102,54.73,Health & Wellness,4/11/2024,841,51.73,48.73
CID1111,NexGen Systems,Influencer,Women 25-34,12,Instagram,10.74,444.29,21.82,Miami,French,5662,26855,95.7,Outdoor Adventurers,1/19/2024,723,99.7,95.7
CID1112,Innovate Industries,Email,Women 25-34,85,Google Ads,4.85,970.61,21.63,Houston,Spanish,3350,31028,65.6,Health & Wellness,7/24/2024,187,62.6,65.6
CID1113,Alpha Innovations,Influencer,Women 35-44,74,Email,7.56,993.22,32.97,Houston,Spanish,6580,17815,55.83,Fashionistas,9/4/2024,601,52.83,49.83
CID1114,NexGen Systems,Email,Women 25-34,17,Email,7.35,329.33,16.21,Los Angeles,Spanish,2604,21312,51.41,Fashionistas,4/8/2024,773,48.41,45.41
CID1115,Innovate Industries,Search,Women 25-34,67,Email,19.1,471.17,57.05,Houston,English,6559,38639,55.24,Fashionistas,11/29/2023,167,52.24,49.24
CID1116,NexGen Systems,Search,All Ages,95,Instagram,13.23,472.73,58.66,Houston,German,10879,27424,88.43,Outdoor Adventurers,7/18/2024,635,85.43,88.43
CID1117,Innovate Industries,Influencer,Women 25-34,57,Email,12.39,151.89,24.1,Chicago,German,7205,17760,51.63,Outdoor Adventurers,5/3/2024,141,48.63,45.63
CID1118,DataTech Solutions,Social Media,Men 25-34,25,Instagram,15.93,246.2,23.01,Los Angeles,German,14161,46029,86.41,Outdoor Adventurers,4/11/2024,875,90.41,86.41
CID1119,DataTech Solutions,Search,Women 25-34,29,Facebook,18.79,190.14,50.87,Miami,Spanish,10791,23369,80.25,Foodies,4/27/2024,661,84.25,80.25
CID1120,Alpha Innovations,Search,Women 35-44,41,Instagram,18,838.35,55.43,Houston,German,7220,26342,85.58,Tech Enthusiasts,1/1/2024,699,82.58,85.58
CID1121,DataTech Solutions,Influencer,Men 25-34,79,Instagram,6.96,803.17,36.9,New York,French,4661,26251,99.56,Tech Enthusiasts,3/2/2024,546,103.56,99.56
CID1122,DataTech Solutions,Social Media,Women 25-34,71,Google Ads,14.89,580.78,11.39,Miami,Spanish,6387,27854,69.87,Tech Enthusiasts,10/17/2023,597,66.87,69.87
CID1123,TechCorp,Search,Women 35-44,40,Facebook,17.94,220.76,48.31,Miami,English,7933,33705,76.68,Foodies,4/30/2024,612,73.68,76.68
CID1124,Innovate Industries,Influencer,Men 25-34,100,Website,9.84,418.23,33.81,New York,English,3456,27759,61.12,Fashionistas,7/17/2024,977,58.12,61.12
CID1125,Innovate Industries,Influencer,Men 18-24,19,Instagram,7.81,498.7,39.68,Chicago,Spanish,7094,17986,88.36,Foodies,2/8/2024,596,85.36,88.36
CID1126,TechCorp,Search,Women 25-34,60,Facebook,10.6,357.06,45.14,Chicago,French,11343,22766,75.36,Tech Enthusiasts,1/13/2024,555,79.36,75.36
CID1127,NexGen Systems,Display,Men 25-34,49,Google Ads,2.34,356.18,17.17,Miami,German,5311,41028,77.36,Tech Enthusiasts,4/22/2024,277,81.36,77.36
CID1128,DataTech Solutions,Display,Women 35-44,51,Website,6.3,790.14,17.59,Chicago,English,7124,31222,62.42,Outdoor Adventurers,12/15/2023,556,59.42,62.42
CID1129,TechCorp,Influencer,Women 25-34,21,YouTube,10.99,486.55,31.54,New York,English,5907,25218,80.03,Foodies,1/2/2024,877,84.03,80.03
CID1130,Alpha Innovations,Email,Men 18-24,20,Facebook,7.84,442.88,14.52,New York,Spanish,1256,23612,70.86,Outdoor Adventurers,11/22/2023,958,67.86,70.86
CID1131,NexGen Systems,Influencer,Women 35-44,87,Website,8.04,650.41,31.78,Los Angeles,French,6527,16198,59.21,Health & Wellness,11/24/2023,887,56.21,59.21
CID1132,Innovate Industries,Search,Men 18-24,99,Google Ads,14.04,459.17,40.1,Houston,English,5916,23331,70.63,Foodies,7/27/2024,688,67.63,70.63
CID1133,NexGen Systems,Influencer,Men 25-34,69,Facebook,12.06,705.79,32.37,Chicago,Spanish,7217,25454,73.57,Tech Enthusiasts,11/23/2023,207,77.57,73.57
CID1134,DataTech Solutions,Display,Women 35-44,39,Google Ads,6.44,539.24,15.61,Houston,Spanish,7221,48777,73.82,Health & Wellness,9/24/2023,442,70.82,73.82
CID1135,Innovate Industries,Search,Women 35-44,24,Instagram,16.58,519.04,41.73,Miami,English,4077,29178,98.77,Fashionistas,5/6/2024,929,95.77,98.77
CID1136,TechCorp,Display,Women 35-44,36,Website,2.43,159.12,18.81,Houston,Spanish,4465,40472,60.06,Fashionistas,5/24/2024,962,57.06,60.06
CID1137,DataTech Solutions,Search,Women 25-34,42,Email,18.82,274.46,45.97,New York,Spanish,7782,30138,53.51,Tech Enthusiasts,12/21/2023,682,50.51,47.51
CID1138,DataTech Solutions,Email,Men 25-34,10,Instagram,6.22,563.34,14.36,Miami,French,3814,37592,98.66,Fashionistas,3/15/2024,915,102.66,98.66
CID1139,NexGen Systems,Search,Women 35-44,94,Instagram,16.34,391.75,59.39,Miami,Spanish,9162,24998,91.25,Foodies,10/8/2023,716,88.25,91.25
CID1140,Innovate Industries,Influencer,Women 35-44,17,Website,14.81,111.91,27.98,New York,Spanish,5495,18045,56.82,Fashionistas,10/16/2023,355,53.82,56.82
CID1141,Innovate Industries,Search,Men 18-24,72,Instagram,14,474.48,53.9,New York,French,8395,39360,97.15,Outdoor Adventurers,6/1/2024,930,94.15,97.15
CID1142,DataTech Solutions,Display,Men 25-34,51,Facebook,6.36,799.83,12.91,New York,French,4884,45770,77.36,Fashionistas,7/2/2024,812,81.36,77.36
CID1143,TechCorp,Search,Women 25-34,73,Email,13.33,311.45,54.33,Houston,Spanish,8223,32149,55.18,Outdoor Adventurers,11/1/2023,366,52.18,49.18
CID1144,NexGen Systems,Display,Women 35-44,91,Website,7.38,223.92,18.53,New York,German,6826,38216,62.91,Fashionistas,8/17/2024,949,59.91,62.91
CID1145,DataTech Solutions,Email,Women 25-34,87,Email,7.38,966.52,16.02,Miami,English,4884,24597,59.12,Outdoor Adventurers,11/9/2023,219,56.12,53.12
CID1146,TechCorp,Display,Men 18-24,35,Website,7.43,825.33,14.75,Miami,Spanish,3521,42876,55.06,Health & Wellness,9/4/2024,514,52.06,55.06
CID1147,Alpha Innovations,Search,Men 25-34,85,Website,16.56,927.71,53.39,Los Angeles,Spanish,4314,28499,61.9,Health & Wellness,9/27/2023,627,58.9,61.9
CID1148,NexGen Systems,Influencer,All Ages,40,Google Ads,5.57,143.34,38.83,Miami,Spanish,4919,27366,67.79,Tech Enthusiasts,8/4/2024,358,64.79,67.79
CID1149,NexGen Systems,Display,All Ages,84,Website,2.81,441.22,7.9,Miami,Spanish,4516,38224,60.65,Outdoor Adventurers,10/13/2023,413,57.65,60.65
CID1150,NexGen Systems,Email,All Ages,38,YouTube,4.64,992.63,15.72,Los Angeles,French,2888,29250,84.14,Fashionistas,8/25/2024,885,81.14,84.14
CID1151,TechCorp,Search,Women 35-44,23,Email,16.35,642.32,47.65,Chicago,Spanish,11338,34525,51.63,Health & Wellness,6/9/2024,449,48.63,45.63
CID1152,Alpha Innovations,Influencer,Men 18-24,45,Instagram,7.33,975.58,35.75,Miami,Spanish,5491,25686,95.47,Outdoor Adventurers,9/4/2024,345,92.47,95.47
CID1153,NexGen Systems,Display,Men 25-34,82,Google Ads,4.39,579.95,9.93,Los Angeles,Spanish,4157,39969,70,Health & Wellness,7/30/2024,816,67,70
CID1154,Alpha Innovations,Social Media,Women 25-34,91,Email,9.43,543,19.52,New York,German,7919,17487,56.22,Fashionistas,4/8/2024,367,53.22,50.22
CID1155,Alpha Innovations,Email,Men 18-24,88,Website,7.71,593.03,20.01,Chicago,German,2546,34535,63.09,Outdoor Adventurers,6/3/2024,730,60.09,63.09
CID1156,Innovate Industries,Email,Women 35-44,80,YouTube,6.51,250.68,23.35,Houston,English,1269,34861,75.53,Outdoor Adventurers,2/10/2024,349,72.53,75.53
CID1157,Alpha Innovations,Display,Men 25-34,60,Facebook,3.8,444.51,8.71,Miami,Spanish,6400,34316,70.05,Health & Wellness,8/2/2024,451,74.05,70.05
CID1158,NexGen Systems,Influencer,Women 25-34,48,Website,13.89,233.22,22.32,New York,English,7302,28107,65,Foodies,6/11/2024,520,62,65
CID1159,NexGen Systems,Email,Men 18-24,38,Instagram,1.3,565.11,29.95,Chicago,German,2420,27495,98.61,Health & Wellness,4/2/2024,125,95.61,98.61
CID1160,TechCorp,Display,All Ages,93,Website,3.35,100.89,15.96,New York,English,3298,38720,56.33,Fashionistas,12/28/2023,312,53.33,56.33
CID1161,NexGen Systems,Influencer,Women 25-34,35,Instagram,10.27,253.53,36.59,Houston,French,4363,26603,96.22,Fashionistas,4/1/2024,464,100.22,96.22
